Unnamed: 0,InvoiceNo,Store,ItemCategory,Price,Quantity,TotalAmount,Date,PaymentMethod
9480,INV01178,Store B,Shoes,146.79,4,587.16,2021-08-14 18:41:07.972843,Credit Card
9684,INV01936,Store B,Accessories,43.05,2,86.1,2021-08-14 18:41:07.972843,Cash
744,INV01525,Store A,Jackets,51.97,1,51.97,2021-08-14 18:41:07.972843,Debit Card
3866,INV00704,Store A,Dresses,184.41,1,184.41,2021-08-14 18:41:07.972843,Cash
8741,INV00491,Store A,Jeans,36.75,3,110.25,2021-08-14 18:41:07.972843,Debit Card
1589,INV01646,Store C,T-Shirts,116.66,4,466.64,2021-08-14 18:41:07.972843,Debit Card
7181,INV01292,Store A,Jeans,128.0,3,384.0,2021-08-14 18:41:07.972843,Online Payment
1548,INV00218,Store C,Accessories,54.35,3,163.05,2021-08-14 18:41:07.972843,Debit Card
3285,INV01986,Store B,Shoes,100.36,3,301.08,2021-08-14 18:41:07.972843,Credit Card
4534,INV01953,Store B,Shoes,193.95,4,775.8,2021-08-14 18:41:07.972843,Online Payment
625,INV01662,Store C,Shoes,194.6,4,778.4,2021-08-14 18:41:07.972843,Cash
7554,INV01957,Store B,T-Shirts,166.68,4,666.72,2021-08-14 18:41:07.972843,Debit Card
8318,INV00685,Store B,Jackets,98.94,3,296.82,2021-08-14 18:41:07.972843,Cash
6423,INV00534,Store B,Jackets,94.64,3,283.92,2021-08-15 18:41:07.972843,Credit Card
9245,INV00216,Store B,Dresses,122.1,3,366.3,2021-08-15 18:41:07.972843,Debit Card
2367,INV00797,Store A,T-Shirts,37.56,1,37.56,2021-08-15 18:41:07.972843,Debit Card
2304,INV00994,Store A,Shoes,161.04,3,483.12,2021-08-15 18:41:07.972843,Online Payment
4177,INV01510,Store A,Dresses,79.64,2,159.28,2021-08-15 18:41:07.972843,Credit Card
3881,INV01862,Store B,Shoes,192.33,3,576.99,2021-08-15 18:41:07.972843,Credit Card
94,INV01130,Store B,Jeans,62.8,1,62.8,2021-08-16 18:41:07.972843,Debit Card
9809,INV00472,Store A,Shoes,197.49,3,592.47,2021-08-16 18:41:07.972843,Cash
8640,INV01293,Store C,Shoes,139.62,4,558.48,2021-08-16 18:41:07.972843,Cash
8050,INV00848,Store C,T-Shirts,66.32,2,132.64,2021-08-16 18:41:07.972843,Credit Card
2596,INV01990,Store A,Dresses,28.45,3,85.35,2021-08-16 18:41:07.972843,Cash
9037,INV01562,Store C,Jackets,51.41,4,205.64,2021-08-16 18:41:07.972843,Debit Card
8753,INV01490,Store A,Jeans,186.73,2,373.46,2021-08-16 18:41:07.972843,Cash
1958,INV01342,Store A,Jackets,127.48,3,382.44,2021-08-16 18:41:07.972843,Online Payment
1652,INV00849,Store C,Dresses,73.37,4,293.48,2021-08-17 18:41:07.972843,Online Payment
1680,INV01501,Store C,Accessories,178.16,2,356.32,2021-08-17 18:41:07.972843,Debit Card
4948,INV00001,Store C,T-Shirts,143.47,1,143.47,2021-08-17 18:41:07.972843,Cash
9238,INV01633,Store B,Shoes,46.21,2,92.42,2021-08-17 18:41:07.972843,Credit Card
1666,INV01760,Store C,Jackets,51.14,4,204.56,2021-08-17 18:41:07.972843,Online Payment
5342,INV01355,Store A,Jeans,45.05,3,135.14999999999998,2021-08-18 18:41:07.972843,Online Payment
6774,INV01458,Store A,T-Shirts,41.28,1,41.28,2021-08-18 18:41:07.972843,Online Payment
3996,INV01518,Store A,Jeans,137.22,4,548.88,2021-08-18 18:41:07.972843,Debit Card
8076,INV01742,Store A,Shoes,177.1,3,531.3,2021-08-18 18:41:07.972843,Cash
7971,INV01761,Store B,Shoes,78.87,2,157.74,2021-08-18 18:41:07.972843,Online Payment
8199,INV00111,Store A,Jackets,136.49,1,136.49,2021-08-18 18:41:07.972843,Cash
8144,INV01611,Store A,Jeans,77.59,1,77.59,2021-08-19 18:41:07.972843,Credit Card
8233,INV00610,Store B,T-Shirts,124.85,1,124.85,2021-08-19 18:41:07.972843,Credit Card
6212,INV00312,Store C,Dresses,123.43,1,123.43,2021-08-19 18:41:07.972843,Debit Card
3419,INV01037,Store B,Accessories,170.12,2,340.24,2021-08-19 18:41:07.972843,Cash
4692,INV00325,Store B,Shoes,51.19,2,102.38,2021-08-19 18:41:07.972843,Debit Card
539,INV00020,Store B,Shoes,41.07,2,82.14,2021-08-19 18:41:07.972843,Credit Card
3654,INV01068,Store B,T-Shirts,67.92,2,135.84,2021-08-20 18:41:07.972843,Online Payment
5027,INV00781,Store C,Dresses,148.22,3,444.66,2021-08-20 18:41:07.972843,Online Payment
1516,INV01672,Store B,Jeans,195.95,1,195.95,2021-08-20 18:41:07.972843,Online Payment
5148,INV00523,Store C,Accessories,88.18,4,352.72,2021-08-20 18:41:07.972843,Debit Card
2365,INV01295,Store B,Jeans,182.38,2,364.76,2021-08-20 18:41:07.972843,Credit Card
9897,INV01446,Store A,T-Shirts,35.09,4,140.36,2021-08-20 18:41:07.972843,Online Payment
288,INV00002,Store B,Jackets,47.56,4,190.24,2021-08-20 18:41:07.972843,Cash
655,INV00094,Store C,Dresses,109.28,2,218.56,2021-08-20 18:41:07.972843,Credit Card
5328,INV01148,Store B,Accessories,23.09,1,23.09,2021-08-20 18:41:07.972843,Cash
667,INV01636,Store C,Jackets,114.38,3,343.14,2021-08-21 18:41:07.972843,Debit Card
53,INV01591,Store B,Jackets,187.42,1,187.42,2021-08-21 18:41:07.972843,Cash
7510,INV01412,Store C,Shoes,145.5,1,145.5,2021-08-21 18:41:07.972843,Cash
1566,INV01829,Store C,Accessories,59.53,2,119.06,2021-08-21 18:41:07.972843,Debit Card
9375,INV00569,Store B,T-Shirts,59.79,2,119.58,2021-08-21 18:41:07.972843,Credit Card
1222,INV00726,Store C,Jackets,136.7,3,410.1,2021-08-21 18:41:07.972843,Credit Card
5566,INV00154,Store B,Accessories,125.83,3,377.49,2021-08-21 18:41:07.972843,Cash
9623,INV00155,Store C,Jackets,127.97,3,383.91,2021-08-22 18:41:07.972843,Online Payment
705,INV01569,Store B,Jackets,149.58,4,598.32,2021-08-22 18:41:07.972843,Online Payment
8688,INV01980,Store B,Jeans,41.57,2,83.14,2021-08-22 18:41:07.972843,Debit Card
2095,INV00432,Store A,Jeans,18.45,3,55.35,2021-08-22 18:41:07.972843,Cash
7037,INV01475,Store A,Accessories,102.27,1,102.27,2021-08-22 18:41:07.972843,Cash
8341,INV01009,Store A,Shoes,121.7,4,486.8,2021-08-22 18:41:07.972843,Debit Card
7640,INV01425,Store A,Shoes,181.96,1,181.96,2021-08-23 18:41:07.972843,Cash
6094,INV00963,Store B,Jeans,131.97,1,131.97,2021-08-23 18:41:07.972843,Debit Card
6366,INV00821,Store B,Jeans,79.78,3,239.34,2021-08-23 18:41:07.972843,Online Payment
5343,INV01167,Store A,Jackets,155.57,1,155.57,2021-08-23 18:41:07.972843,Online Payment
